"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Colores y coches de carreras con Max el tren, Bill el camión monstruo y Pete el camión - juguetes","","","","",2015,"ALL","10 min","Kids","Max es un juguete divertido que enseña los colores a los niños. Después de que Max y Bill encuentran una caja con coches de carrera, los pueden pintar y comenzar a correr. Su habitación es demasiado pequeña y por eso no pueden competir. Pete el Camión llega y los ayuda a preparar una verdadera carrera."
"Hallowed Be Thy Name","Taylor Ri'chard","Collin Shepard, Alissa Shayle Hale, Bryen Lenis","","",2020,"13+","99 min","Horror, Suspense","Superstition, magic, and bad decisions drive us down a road into a small town in rural Georgia with Devin, a 17-year-old boy. Along with his friends, Devin learns quickly there are some places that should remain a mystery."
"Gulabo Sitabo","Shoojit Sircar","Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava","India","",2020,"16+","125 min","International","Set in present day Lucknow (India), Gulabo Sitabo is a social satire about two impossibly peculiar human beings - Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Baankey Rastogi. The mansion may have seen many dramas unfold over a century of its existence, but still has a final act left as the drama of battle of ownership unfolds, with a priceless lesson to teach."
"Hello Charlie","Pankaj Saraswat","Jackie Shroff, Aadar Jain, Shlokka Pandit, Elnaaz Norouzi, Rajpal Yadav, Darshan Jariwalla, Girish Kulkarni, Siddhanth Kapoor, Bharat Ganeshpure","","",2021,"13+","102 min","Comedy","Charlie is a young simpleton daydreamer, currently, a pizza delivery boy, who finds himself driving his uncle’s truck , Girnaar Express to deliver a gorilla from Mumbai to the jetty at Diu. Charlie is unaware that the gorilla is disguised business tycoon M.D.Makwana who is on the run after comitting a multi crore scam. It is a mad road journey that ends up making a hero out of a simpleton."
"The Lithium Conspiracy","Davide Marengo","Guido Caprino, Carolina Crescentini, Maya Sansa, Philippe Leroy, Flora Martínez, Michele Venitucci, Franco Ravera, Gaetano Bruno, Nino Frassica, Francesco Pannofino","","",2012,"13+","106 min","Drama, Suspense","Giulio, torn between a demanding wife who left him and a job that seems to have no future after a banking merge, is being practically pushed on a plane to a place called Queimada in South America, which hides the largest lithium deposit in the world. He's given no information on what he should be doing with the cryptic statement ""the less you know, the better..."""
"Titeuf","Zep","Donald Reignoux, Mélanie Bernier, Zabou Breitman","","",2011,"13+","87 min","Animation, Kids, Young Adult Audience","Titeuf is a famous character from comics and animation series. In this movie - Titeuf's life never been worse- Nadia didn't invite him to her birthday party, his parent's are close to be deported - and everything looks so bad. No one can solve the problems now but Titeuf in his funny ways ... Or maybe he'll fail too?"
"Promises","Mike Henricks, Melody Brooke","Manu Intiraymi, Kim Jackson Wheeler, Melody Brooke, Benjamin Dane, Edgar Arreola, Bill Hass","","",2017,"13+","118 min","Drama","Zach and Sara are inseparable friends as kids, until he has to move away. Reuniting decades later, they don't recognize each other until after a romance has bloomed, yet they struggle to connect as demons from their pasts continue to haunt them, until they discover how they can help each other heal."
"Kuruthi","Manu Warrier","Prithviraj Sukumaran, Roshan Mathew, Murali Gopy, Shine Tom Chacko, Srindaa, Mamukkoya, Manikanda Rajan, Navas Vallikkunnu, Sagar Surya, Naslen","","",2021,"16+","122 min","Suspense","Kuruthi is a story about how enduring human relations that transcend boundaries struggle to survive trials of hatred and prejudice."
"Sing and Rhyme with Mother Goose Club","John Hussey","Liam Remick, Rachel Hockett, Joseph Lopez, Abigail McGuire, Ivy Rhodes, Jessica Diaz","","",2015,"ALL","42 min","Kids","Nursery rhymes, baby videos and kids songs that your preschooler can dance to all day long! Enjoy this collection of 22 Mother Goose Club hit videos. Your children can race along the tracks to ""Freight Train"", spin in circles with their friends to ""Ring Around the Rosy"" or do a robot dance to the original Mother Goose Club hit ""Rockin' Robot""!"
"The Black List","patrick A. Albright","Vanessa Lundy, Tia Randall, Shawn Mays, Adrienne Anderson, Warren Perry, Jameela Hardmon, Latanya Albright, Alexandria Jade, Alia Torres, Sammie Wright, Abram Malcom, Gregory Smith, Dominique Treadwell","","",2021,"16+","61 min","Comedy, Horror, Suspense","11 tales of suspense and horror told from an African American perspective. From the mind of the award winning director/photographer Patrick A. Albright."
"A Tour Through Hawaii","Mark Knight","","","",2012,"ALL","60 min","Special Interest","A relaxing video postcard with no narration or music-simply the natural sounds and video in HD. Enjoy the spectacular natural beauty of Hawaii including, Eternity Beach, Ioa Valley Park, Blowhole, Rainbow Falls, Kawaiola Bay, Lotus Flower ponds, Jungle Waterfall, Makapu'u Tide Pools, Maui Twin Falls, Kaeohe Bay, Tunnels Beach at Hanalei, Waimoku Falls, Haleakala National Forest, and more."
"Mixed Up","Nishi Chawla","Rohini Bir, Jean Berard, Lucy Bond, Bethany Rishell, Sanjay Kumar, Uday Krishna, Max Johnson, Bryan Brougham, NISHI CHAWLA","","",2020,"16+","106 min","Action","Mixed Up, examines causal factors that make up romantic interracial relationships. The story reveals the deep hostility of a white American Professor's wife to their two daughters' boyfriends, one a Hindu Indian medical doctor and the other, an Iranian."
"The Best Things in the World","Laís Bodanzky","Francisco Miguez, Denise Fraga, Fiuk","","",2015,"18+","106 min","Comedy, Drama","After his father leaves their home, Mano faces the drama and the dilemmas of his family with the help of his friends. A choral story starring a group of Brazilian boys struggling with problems related to the most delicate phase of their life: adolescence."
"Parentesi Tonde","Michele Lunella","Raffaella Lecciso, Karim Capuano, Francesca D Auria","","",2021,"16+","88 min","Comedy","Vanessa, a runaway bride, and Emanuela became friends on the ferry to a tourist resort. Together they will take part of the chaotic life of the resort."
"The Brightons","Akin Tijani Balogun","Kalu Ikeagwu Scarlet Gomez Bukky Thomas","","",2021,"16+","89 min","Drama","The Brightons look like a perfect family but in their perfection lies some imperfections that threatens to rip them apart. From an age long rift between two sisters, an old admirer seeking revenge for crimes never committed, a child in desperate need of attention, acceptance and affection, to one who is about to loose himself in his journey of self-discovery."
"The Fabulous Allan Carr","Jeffrey Schwarz","Maxwell Caulfield, Steve Guttenberg, Lorna Luft, Michael Musto, Connie Stevens, Marlo Thomas, Bruce Vilanch","","",2018,"ALL","90 min","Documentary","Allan Carr built his bombastic reputation producing the hit movie ""Grease"" and Broadway sensation ""La Cage Aux Folles,"" but it all came crashing down after he conceived the notorious 1989 Academy Awards."
"Ponmagal Vandhal","JJ Fredrick","Jyotika, Bhagyaraj, Prathap Potham, Thiagarajan, Parthiban, Pandiarajan, Subbu Panchu","India","",2020,"18+","123 min","Drama, International","Ponmagal vandhal is set in Ooty in 2020. A local resident named 'Petition' Pethuraj (K.Bhagyaraj) is well known for filing cases against the general public to be in the limelight. Pethuraj reopens a cast which happened way back in 2004, involving a serial killer 'psycho' Jothi who was convicted for kidnapping and murdering five children and two youngsters."
"Black, White & Us","Loki Mulholland","","","",2019,"13+","75 min","Documentary, Kids","""Black, White & Us"" explores racism in America through the lives of four white families who adopt African American children and must overcome their own inherent biases to become advocates. Is there a way to fix our country's racial divide? These transracial adoptive families just might provide the answer."
"Incall","Brock Riebe","Brock Riebe, Ben Muller, Lillian Lamour, David Whitman, Jonny Blackstone, Gerald O. Heller, Nicholas Taylor, Frank Ondorf, Collin Bullock, Paul Russel","","",2018,"18+","140 min","Drama, Horror","After the accidental death of a massage client, a young masseur and a seductive cat burglar become serial killers for profit. They race against time to raise funds to leave the country before they are caught by the police, the landlord, or an obnoxious lovesick woman."
"The Wrong Path","Andrew Damon Henriques","C. Thomas Howell, Drew Moerlein, Abigail Hawk, Gene Gabriel, Vince Oddo, Sal Rendino, Artie Pasquale, Joe D'Onofrio, Christopher Brian Roach","","",2021,"16+","87 min","Drama, Horror, Suspense","A small town electrician with anger issues gets extreme therapy from a noted Pyschiatrist, Dr. Eric Poslowe, but is soon framed for a robbery and then a murder. Even with the help of Dr. Poslowe's female assistant Bonnie, he soon learns to trust no one but himself and becomes entrapped in a web of deceit, greed and corruption."
"Shivalinga","P. Vasu","Raghava Lawrence, Ritika Singh, Vadivelu, Shakthi Vasudevan, Radha Ravi, Urvashi","","",2017,"13+","147 min","Horror, Suspense","Raheem gets killed when he tries to save a blind man in a train. When the police close the case stating suicide, Raheem's girlfriend asks Shivalingeshwaran, a CID officer, to investigate the death."
"All at Sea","Robert Young","Brian Cox, Lauren Bacall, James Fox, Hege Shcøyen, Kåre Conradi, Ingrid Bolsø Berdal, Sverre Anker Ousdal","","",2021,"13+","89 min","Comedy, Drama","Retired sailor Wally and best friend Skipper are residents of a retirement home run by Ms. Reimark. When Skipper dies, Wally vows to honor his promise to bury his friend at sea. Unfortunately, he doesn't have a coffin, boat or anyone to conduct the service. Wally takes fellow residents on a madcap adventure to carry out the burial before Ms. Reimark puts an end to his daring scheme."
"April 28th em jarigindi","Veera Ganamala","Raja Ranjith Elchuri, Sherry Agarwal, Rajiv Kanakala","","",2021,"13+","111 min","Horror, Suspense","April 28th Em Jarigindi is a Telugu movie starring Raja Ranjith Elchuri, Rajiv Kanakala and Tanikella Bharani in prominent roles. It is a horror suspense thriller directed by Veera Ganamala with Sandeep Kumar K as musician, forming part of the crew."
"The Alpha Test","Aaron Mirtes","Rae Hunt, Bella Martin, Wynn Reichert","","",2020,"16+","86 min","Science Fiction","A suburban family drives their new gadget, The Alpha Home Assistant, to a killing rampage after mistreating and abusing it, leading to a full A.I. uprising."
"L'Enfant Terrible","Gerardo Gabaldón","Gerardo Gabaldón, María Senra, Antonio Toledo, Daniel Vázquez, Jorge Brea, Estíbaliz Núñez, Sara Estudillo, Mángeles Quintana, Edu López, Celia Villalobos, Angharad Galnares, Fernando Fossati, Manuel Bedeli, Lola García, Carmen Calero, Susana Gómez, Moisés Gómez","","",2019,"18+","127 min","Drama, Kids","Kobe, a young famous and successful writer, he has everything in life: money, fame, recognition, love - The problem remains in his way of being, due to a hidden and difficult past, affecting him in his current life unable to leave behind."
"Cryptopia: Bitcoin, Blockchains, and the Future of the Internet","Torsten Hoffmann, Michael Watchulonis","Torsten Hoffman, Vitalik Buterin, Andreas M. Antonopoulos, Charlie Lee, Preethi Kasireddy, Laura Shin, Vinny Lingham, Samson Mow, Roger Ver","Australia, United States, Germany","",2020,"13+","87 min","Documentary","5 years after his first documentary on the topic, award-winning filmmaker Torsten Hoffmann revisits the big brains and big egos behind Bitcoin, Blockchains and Web3 in this thought-provoking and entertaining crash course about the controversial technology"
"Magical Playtime with Mila and Morphle","Arthur van Merwijk","","","",2019,"ALL","49 min","Animation, Kids","Come join Mila and her magic pet Morphle as they go on an Easter egg hunt, play with their friends, and look for the missing animals from the zoo!"
"How Not to Die","","Dr. Michael Greger, Dr. John McDougall","","",2016,"18+","82 min","Documentary, Special Interest","The majority of premature deaths can be prevented through simple changes in diet and lifestyle. In How Not to Die, Dr. Michael Greger examines the fifteen top causes of death in America-heart disease, various cancers, diabetes, high blood pressure, and more. He explains how nutrition and lifestyle can sometimes trump prescription pills and other approaches, freeing us to live healthier lives."
"Root of the Problem","Scott Sikma","Sergio Di Zio, Claire Rankin, Jayson Therrien, Leslie Benn, Ty Loupelle","","",2020,"7+","95 min","Comedy, Drama, Special Interest","When a suburban family inherits a real-life money tree, the dad thinks he has a one-way ticket to easy street. But he loses sight of the things that matter most in life and becomes more distant and secretive with his wife and children. Now, the family will be tested and must search within their hearts to find the answers and discover that it is better to give than receive."
"Miracle on Highway 34","Nathan Clarkson","Sharonne Lanier, Dan Davidson, Josh Murray, Stephen Fuller Austin, Nathan Clarkson, Keelia Clarkson, Noah Artis","","",2020,"ALL","71 min","Drama, Special Interest","A diverse set of characters find themselves together in an old diner in a small town on Christmas Eve during a snowstorm. While a young expecting couple tries to make it home on a night that's anything but silent."
"Velaikkaran","Mohan Raja","Sivakarthikeyan, Fahadh Faasil, Nayanthara, Prakash Raj, Sneha, Thambi Ramaiah","","",2017,"13+","152 min","Action, Suspense","Arivu, a crusader for the poor citizens of Chennai, decides to change the system and takes up a mission to fight FMCG companies for malpractices in food adulteration."
"Mario","Marcel Gisler","Max Hubacher, Aaron Altaras, Jessy Moravec","","",2018,"18+","124 min","Drama, Sports","There's a ripple of disquiet in the locker-room when Leon, a new striker, joins the soccer team. Sharing a flat with keen rival Mario sets the scene for an unexpected love affair, but the path of gay love in this macho world is not an easy one. Mario is unwilling or unable to acknowledge the implications of what is happening. But pretend girlfriends don't fool everyone."
"Mathu Vadalara","Ritesh Rana","Sri Simha Koduri, Athulya Chandra, Vennela Kishore, Satya Akkala, Naresh Agastya","India","",2019,"16+","129 min","Drama","Babu is a delivery boy living with his friends Yesu and Abhi. Due to his meagre salary, he decides to quit, but then Yesu gives him an idea. The idea, however, soon spirals out of control and Babu finds himself deep in trouble. Will he survive the consequences of his own actions?"
"Tiger Orange","Wade Gasque","Mark Strano, Johnny Hazzard, Gregory Marcel","","",2015,"18+","76 min","Drama, LGBTQ, Romance","Chet and Todd, estranged gay brothers, grew up in a small town in Central California with a homophobic, working class single father. While Todd ran off to Los Angeles and is now out and proud, Chet stayed at home and remained mostly closeted. Broke and homeless, Todd returns to the brother he left behind. Resentments boil to the surface as ""Tiger Orange"" serves a depiction of family dynamics."
"Clown Motel Vacancies","Jason Mills","Kiana Passmore, Darren Andrichuck, Scott Osborne, Daniel Diemer, Robert Allan Hughes, Brooke Walker, Paul Mills, Jason Mills, Momona Komagata, Kirra Rayne, Hans Potter","","",2018,"18+","71 min","Horror, Suspense","When Shane has unfinished business, both personal and professional, he takes a trip with his pregnant wife Tara to a Motel on the outskirts of town. Unbeknownst to him, the motel is not what it seems."
"Ami Sudhu Cheyechhi Tomay","Ashok Pati","Ankush Hazra, Subhashree Ganguly","","",2014,"13+","151 min","Romance","Abhi, son of a rich business man loves Bhoomika since childhood. Though people think him as a spoilt brat, but actually he is a good person by heart. He doesn't care what people think about him. He loves Bhoomika and can do anything for her. However, Bhoomika does not like him. Later they both join a same college in Darjeeling to pursue higher studies in pursuit to win his love."
"Prime Live Events: Blondie Live at Round Chapel (4K UHD)","Jackson Ducasse","","","",2017,"ALL","72 min","Music Videos and Concerts","Get up close and personal with new wave pioneers, Blondie. The legendary New Yorkers are responsible for some of modern music's most enduring songs, including ""Call Me"", ""Atomic"", ""Heart of Glass"" and other anthems from their 70s and 80s heyday. Blondie perform for only 750 fans at the intimate Round Chapel, Hackney."
"Learn Numbers, Shapes and Colors at the Amusement Park with Max the Glow Train","","","","",2015,"ALL","14 min","Kids","Max the Glow Train, Blazin' Bill the Monster Truck, Pete the Truck and You, the viewer, go to the amusement park to ride different rides. At the Amusement Park they meet their friend Robo-J5 the Robot and O5 the Robot, called Bubble. Bubble does not know any numbers, shapes, or colors. The toys and Robo-J5 teach him numbers, shapes and colors and enjoy lots of different rides."
"Kitty Mammas","Dennis Alexander Nicholson","Paul Sun-Hyung Lee, Janet Porter, Kathrin Kohut, Vienna Hehir, Morgan Kohan, Stephanie Belding, Helene Robbie, Billy MacLellan, Zarrin Darnell-Martin, Ramona Milano, Drew Nelson, Christina Song, John Tench, Michael James Regan","","",2021,"ALL","93 min","Comedy, Drama","A disgraced but kind-hearted fertility doctor (Paul Sun-Hyung Lee) embarks on a breakthrough clinical trial in which four women give birth to kittens! But everything is threatened when a petty journalist tries to expose the cat-pregnancies."
"Babru","Sujay Ramaiah","Mahi Hiremath, Suman Nagarkar, Sunny Moza, Ray Tostado","","",2019,"13+","106 min","Suspense","Arjun (Mahi Hiremath) has to reach Vancouver to propose to his girlfriend. He discovers that his rental car named BABRU has already been given to Sana (Suman Nagarkar). He has no choice but to travel with her. Gu (Rey Tostado) hitches a ride with them. Rico (Sunny Moza) is on a killing spree as his love is held captive. The interesting twists, turns, journey and destiny form the story."
"Dov Davidoff: Lower Your Expectations","John Asher","Dov Davidoff","","",2016,"18+","59 min","Arts, Entertainment, and Culture, Comedy, Special Interest","In Dov Davidoff's all new stand-up special, Lower Your Expectations, Dov returns with his one-of-a-kind frenetic style to dissect the hilariously misleading truths in culture and to question the American future."
"Turnt","Mann Robinson","Torrei Hart, Jamal Woolard, Khalida Medlock, Benzino, Dennis "" L.A."" White, Mann Robinson, Nicole "" Hoops"" Alexander","","",2020,"16+","85 min","Drama","This is a story of a young man named Kenny Stanford who had dreams of being a successful artist in the music industry, but these dreams were cut short due to senseless street violence. Due to the death of his brother, Libaraiers found himself on a new unlikely journey as a rap artist. This raw talent and his natural street persona birthed his rap name Rilla."
"Around The World in 30 Minutes","Mark Knight","","","",2012,"ALL","30 min","Special Interest","A soothing video postcard format with no narration or music-simply an upbeat tempo blend of Zen and energy for an energetic yet relaxing mood. Videos include Crown Fountain Millennium Park Chicago, Times Square at night New York City, Gondola ride on Venice Canals, Penguin Beach Punta Tomba Argentina, Mira Flores Locks at Panama Canal and Haichiko Crossing in Tokyo."
"He's Mine Not Yours","Roger Melvin","Jason Weaver, Caryn Ward, Gabrielle Dennis","","",2011,"16+","104 min","Comedy, Drama","Kent is ready to put his playboy past behind him and marry the girl he loves- but first, he has to prove he's changed his ways for good."
"Tequila Flavored Cigarettes","Bobby McGruther","Bobby McGruther, Amandalyn McLellan, Samantha Nolte, Robert Lincoln, Maya Tripathy, Lawrence Kochoa, Bianca Roses, Rachel Robyn Wagner, Allison Blackman","","",2021,"16+","77 min","Comedy, Drama","Your soulmate is decided on your 23rd birthday. Childhood friends reunite to celebrate the birthday of Angelo, the last of their group to turn 23. As the night progresses, old feelings come up, and they start to question whether the system is perfect."
"Manithan","I. Ahmed","Udhayanidhi Stalin, Hansika Motwani, Aishwarya Rajesh, Radha Ravi, Prakash Raj, Vivek","","",2016,"13+","143 min","Drama, Suspense","In order to earn quick money and fame, a struggling lawyer accepts a bribe and joins hands with a man who pretends to be a witness in a case. However, his conscience forces him to fight for justice."
"The End of the Road","Sergio García Locatelli","","","",2015,"18+","40 min","Documentary, Special Interest","Terminal patients, the mentally ill, the elderly, men and women who work facing death and children do not have much in common, but they offer us a different view of the everyday citizen, with such different valuations and perceptions, according to their experiences on what is the end of life for them."
"Gajakesari","S Krishna","Yash, Amulya, Anant Nag, John Vijay, Prabhakar, Shahbaz Khan","","",2021,"16+","148 min","Action, Drama","Rana (John Vijay) kills the State Minister's bodyguard and forces him to sign a deal to open a resort in Anegudde, an elephant reserve. Later, he also hatches a plan to get tribal people out from their houses. Krishna(Yash) a happy go lucky guy vows to protect the forest unaware of the fact that he's a Bahubali in his previous birth."
"Legend of a Warrior","Corey Lee","Frank Lee, Corey Lee","","",2012,"13+","78 min","Documentary, Sports","In this feature length documentary, filmmaker Corey Lee attempts to reconnect with his father, renowned martial artist Frank Lee. Frank's status as legendary street fighter and coach have kept him at an emotional (and physical) distance from his son, but now the younger Lee has decided to re-enter his father's world... a world where fighting rules."
"Stalled","Christian James","Dan Palmer, Tamaryn Payne, Antonia Bernath, Mark Holden","","",2013,"13+","85 min","Comedy, Horror","A janitor gets trapped in a women's restroom and soon encounters an all-out attack by a hoard of zombies. Blood spews and body parts are flying in this hilarious, yet shocking zombie-fest that will make you checking under the stalls before your next bathroom break!"
"Khandani Shafakhana","Shilpi Dasgupta","Sonakshi Sinha, Varun Sharma, Kulbhushan Kharbanda, Nadira Babbar, Annu Kapoor, Badshah","","",2019,"13+","135 min","Comedy, Drama, International","A feisty girl from Punjab tries to continue her family traditions by opening a sex clinic to help and aware others in her hometown."
"The Special","B. Harrison Smith","Davy Raphaely, Sarah French, Davi Sheridan, Susan Moses, Doug Henderson, Paul Cottman, Wayne Shearer, Tony Barber, Lisa Budwig, Leslie Talley","","",2020,"18+","94 min","Drama, Horror, Suspense","Suspecting his wife of infidelity, Jerry's best friend offers him ""The Special"", a supernatural encounter in the back room of a brothel. But everything has a price, and Jerry's night of pleasure sets off a dark chain of events as he spirals into obsession - because once you've had ""The Special"", you can't go back to the ordinary."
"Gary Gulman: In This Economy?","Jay Chapman","Gary Gulman","","",2012,"18+","61 min","Arts, Entertainment, and Culture, Comedy, Special Interest","In this stand-up special, money is a wellspring for the comedy of funnyman Gary Gulman, who aims darts at the uberwealthy, including Donald Trump."
"Heterosexual Jill","Michelle Ehlen","Jen McPherson, Michelle Ehlen, Keye Chen, Shaela Cook, Geovanni Gopradi, Lauren Nash, Katy Dore, Shaun Landry, Ken Rambo","","",2014,"18+","79 min","Arts, Entertainment, and Culture, Comedy, LGBTQ","Unable to make progress with her ex-lesbian conversion path, a neurotic ""All American"" Jill tracks down her ex-girlfriend Jamie to prove to herself that she is no longer attracted to her. Strung along by guilt and desire, Jamie agrees to the preposterous plan of ""dating"" Jill so that Jill can close this chapter of her life and move forward with men."
"Morphle and Mila Dinosaur Adventures","Moonbug Entertainment","","","",2019,"ALL","52 min","Animation, Kids","Morphle can morph into anything his human companion Mila wants. From dinosaurs to cars, and animals like cats, dogs, and lions! Your kids will love these fun, and educational videos for kids! They will learn colors, shapes, numbers, the alphabet, and more! Watch these educational and magical cartoons that your kids will surely enjoy!"
"Future Fear","Ken May","Kaylith Von Kola, Otis Johnson, Raven Ebner, Rigel Blatt, Ken May, Kristen Horgen","","",2021,"16+","93 min","Action, Science Fiction","In a distant future, an archeologist on the run from alien attackers takes refuge in ancient ruins and is forced to use primitive technology to fight her way off the planet."
"SheBorg","Daniel Armstrong","Whitney Duff, Daisy Masterman, Emma-Louise Wilson, Jasy Holt, Tommy Hellfire","","",2018,"18+","87 min","Horror, Science Fiction","Special Feature presentation at Stages Film Festival. SheBorg, a half-alien half-robot creature that has crashed onto earth and turns human into her evil robotic lackeys. Witnessing the human race doomed, a group decide that no alien will push their planet around. They must defeat SheBorg to save the world from complete catastrophe before it's too late."
"Cut the Rope: Learn English with Om Nom (Volume 2)","Zeptolab","Cut the Rope, Om Nom","","",2021,"ALL","37 min","Animation, Kids","Om Nom and his cute friend Om Nelle are on another adventure! Be a part of their journey as they learn to eat healthy fruits and vegetables! Play with shapes, learn craft, ride toy trains and much more! Get ready for an Om Nom Nom Nom Time!"
"Rendez-vous","Pablo Olmos Arrayales","Antonio Alcántara, Helena Puig, Markin López, Axel Zapién, Aaron Gómez, Italo Maximiliano Concha Veloz, Héctor Vázquez Urquieta","","",2021,"16+","106 min","Drama, Horror, Suspense","Lili and Eduardo meet for the first time after connecting on a dating app. Eduardo arrives late but with a good reason in a place like Mexico City: he was mugged and they took his phone so he couldn't text her to say he was running late. While at first everything seems to be going fine, when Lili finds Eduardo's phone in his jacket, things take an unexpected and terrifying turn for the worse."
"Galipattam","j ramesh","Thavasi, Raveena, Murali Krishna, Johnsi, Kamalesh","","",2021,"13+","86 min","Drama, Kids, Special Interest","Prem and Priya as Siblings in a Nuclear family fall prey to the perils of inadvertent use of social media. Parents are lost in their world and have a different outlook regarding the upbringing of their children. The siblings now have to come to terms with life and thankfully they have their grandfather, who pays a visit to their family in the city."
"Faster","Mark Neale","Ewan McGregor, Valentino Rossi, Max Biaggi, Garry McCoy, John Hopkins, Wayne Rainey, Kevin Schwantz, Kenny Roberts, Barry Sheene","","",2020,"13+","103 min","Action, Sports","Filmed around the world in 2001 and 2002, Faster captures the rise of MotoGP superstar Valentino Rossi amid ferocious competition, especially from his bitter rival Max Biaggi."
"RiffTrax: Day of the Shorts: SF Sketchfest 2019","Michael J. Nelson","Kevin Murphy, Bill Corbett, Bridget Nelson, Paul F. Tompkins, John Hodgman, Janet Varney, Frank Conniff, Trace Beaulieu, Mystery Science Theater 3000 Guys","","",2019,"13+","108 min","Comedy","Performed and recorded live at SF Sketchfest in the beautiful Castro Theatre, now available for The Comfort Of Your Own Home Fest, it's Day of the Shorts: Sketchfest 2019! This feature is a parody and contains the original shorts combined with a comedic commentary by Mike, Kevin and Bill from RiffTrax (formerly of MST3K) and other comedy guests."
"Antarctica","Keith Bearden","Chloë Levine, Kimie Muroya, Bubba Weiler, Steve Lipman, Clea Lewis","","",2020,"18+","81 min","Comedy, Drama","Life-long friends Kat & Janet see everything flipped upside down as they hit senior year. Shy Kat is now popular, hooking up at parties, while misfit Janet is put on strange medication for her ""bad behavior."" Things get even odder when Janet meets a cute boy who might be a time traveler, & Kat's panicked parents send her off to sex rehab. Can anything make life in the suburbs normal again?"
"Journey Through The Stars","Mark Knight","","","",2020,"ALL","60 min","Documentary, Special Interest","An out-of-this-world experience where we dance among the stars of our vast solar system. The 432 hz binaural beat sound bed enhances the parasympathetic nervous system-the source of relaxation, and slows down the sympathetic nervous system-the fight-or-flight side of the nervous system. The outcomes are less stress and inflammation in your body, ensuring a happier, healthier You."
"Helena","Alfonso Ciccarelli","Giovanna Landolfi, Ciro Esposito","","",2020,"16+","80 min","Drama","Helena, a brilliant journalist, writes articles on the land of fires and recurring is the phrase ""To my land that may flourish and never burn again"" Helena lends herself to helping people with cancer with her psychologist friend Maria (Stefania De Francesco)."
"Courageous Love","Daniel Knudsen","Tim Kaiser, Holly Houk, Jessica Koloian, Kristina Kaylen, Patricia Mauceri, Jared Withrow","","",2017,"13+","100 min","Drama","Courageous Love is a faith-based romantic drama about a young executive who falls in love with one of his fellow employees while working undercover."
"The Last Stop","Todd Nilssen","Liz Arnold, Peter Arnold, Daniel Bennison, Jeff Bloking, Alec Canarri","","",2020,"16+","111 min","Documentary","The Elan School was the last stop. Set deep in the woods of Maine, Elan delivered controversial therapy to troubled teens. It was a meat grinder of raw emotion and harsh discipline. Some say it sold hope; others say it sold Hell."
